Brian Simpson,Something About You
Bob Reynolds,Quartet
The Bad Plus,The Bad Plus
"Redman, Mehldau, McBride, Blade",LongGone
Snarky Puppy,groundUP
Jim Hart Cloudmakers Trio with Leo Genovese,A Drop of Hope in the Ocean of Uncertainty
Snarky Puppy,Culcha Vulcha
Phronesis,We Are All
The Bad Plus,Complex Emotions
Patricia Brennan Septet,Breaking Stretch
Snarky Puppy,Live at the Royal Albert Hall
Ornette Coleman Double Quartet,Free Jazz: A Collective Improvisation
Dave Holland Quartet,Extensions
Herbie Hancock,Head Hunters
Chris Potter Underground Orchestra,Imaginary Cities
Patricia Brennan,Of the Near and Far
Chris Potter Underground,Follow the Red Line: Live at the Village Vanguard
Dave Holland Quintet,Critical Mass
"Lionel Loueke, Dave Holland",United
The Japanese House,Good at Falling
Cory Wong,Cory Wong and the Green Screen Band
Chris Potter,Got the Keys to the Kingdom
"Gretchen Parlato, Lionel Loueke",Lean In
Cory Wong,The Optimist
House of Waters,Revolution
"Walter Smith II, Matthew Stevens, Kris Davis, Dave Holland, Terry Lyne Carrington",In Common III
Dave Holland Big Band,Overtime
Mark Guliana,the sound of listening
Alarm Will Sound,Acoustica
Snarky Puppy,We Like It Here (Remixed + Remastered + Reimagined)
Chris Potter,Gratitude
"Dave Holland, Chris Potter, Lionel Loueke, Eric Harland",Aziza
"Dave Holland, Zakir Hussain, Chris Potter",Good Hope
Kneebody,Reach
Chris Potter Tentet,Song for Anyone
Chris Potter,Underground
Ben Wendel,Understory: Live at the Village Vanguard
House of Waters,On Becoming
"Snarky Puppy, Metropole Orkest",Sylva (Remixed + Remastered)
"Scott Colley, Edward Simon, Brian Blade",Three Visitors
Chris Potter,Traveling Mercies
The Dave Brubeck Quartet,Time Out
Dave Brubeck,Time In
The Dave Brubeck Quartet,Countdown: Time in Outer Space
Will Donato,Supersonic
Christian McBride Big Band,"For Jiimmy, Wes, and Oliver"
"Christian McBride, Inside Straight",Live at the Village Vanguard
Christian McBride Big Band,Bringin' It
Christian McBride Big Band,The Good Feeling
